Table Name:,2008 VBT Male RR80 (UCS61) Nonsmoker ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1048,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"“2008 Valuation Basic Table”, American Academy of Actuaries /Society of Actuaries, Joint Preferred Mortality Project Oversight Group (paper presented at the March 2008 meeting of the National Association of Insurance Commissioners’ Life and Health Actuarial Task Force, Orlando, Florida, March, 2008) p. 91-92. Accessed: October, 2012 from http://www.actuary.org/pdf/life/tables_march08.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 80% (UCS61), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The underlying data used in developing the 2008 Valuation Basic Table (VBT) was a subset of the Society of Actuaries (SOA) Individual Life Experience Committee's (ILEC) 2002-2004 Intercompany Study comprised of claims from 35 contributing companies. Of these 35 companies, 28 companies maintained preferred class underwriting criteria. Nevertheless, this data proved insufficient to develop all the relationships needed for construction of the Relative Risk tables. Consequently, research from a reinsurer heavily supplemented the data. Methodology: Relative Risk Ratios were developed from an Underwriting Criteria Score (UCS). The Relative Risk Ratios were then applied to the 2008 Primary Table to create 10 preferred non-smoker tables and 4 preferred smoker tables delineated by gender. Next, a Preferred Wear-Off Factor was applied to durations 2 and later. The Wear-Off Factors result in the relative risk tables grading into the corresponding aggregate table at higher attained ages. The Preferred Wear-Off Factors are the same for all the Relative Risk tables. Data Transcription Errors: None. Data Certified: 10/2012.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Relative Risk (RR) - Male, 80% (UCS61), Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 90. Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.0005,0.00054,0.00061,0.00066,0.0007,0.00071,0.00068,0.00066,0.00063,0.00061,0.00061,0.00063,0.00064,0.00066,0.00068,0.00071,0.00074,0.00079,0.00083,0.0009,0.00096,0.00104,0.00112,0.00122,0.00134
